week;datum_dinsdag;dinsdag_interval;loopscholing_dinsdag;trainer_dinsdag;datum_zaterdag;zaterdag_duurloop;loopscholing_zaterdag;optionele_dagen;loopscholing_optionele_dagen;fase;wedstrijd;created_at;updated_at;trainer_zaterdag
36;02-09-2025;Lichte tempoblokken: 4 min + 3 min + 3 min met lage intensiteit;Balansoefeningen, rustige loopscholing;virgilsmit@gmail.com;06-09-2025;5 min warming-up + 3x5 min heuvelop lopen + 10 min rustig uitlopen;Core training, ademhaling;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
36;02-09-2025;3x3 min interval: 3 min + 3 min + 3 min met pauzes;Skipping, knieheffen, hakken-billen;virgilsmit@gmail.com;06-09-2025;Duurloop: 7 min + pauze 3 min x3 + 7 min (zonder pauze);Dynamisch rekken, balansoefeningen;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
37;09-09-2025;4x2 min interval: 2 min + 2 min + 2 min + 2 min met pauzes;Armzwaaien, loopsprongen, heupzwaaien;virgilsmit@gmail.com;13-09-2025;Duurloop: 7 min + pauze 3 min x3 + 7 min (zonder pauze);Knieheffen, kruispas, hakken-billen;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
38;16-09-2025;Tempoblokken: 4 min + 4 min + 4 min met pauzes;Dynamisch rekken, balansoefeningen;virgilsmit@gmail.com;20-09-2025;Duurloop: 7 min + pauze 3 min x3 + 7 min (zonder pauze);Heuvelop knieheffen, skipping;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
39;23-09-2025;Heuvelintervallen licht: 2 min + 2 min + 2 min + 2 min met pauzes;Knieheffen, kruispas, hakken-billen;dannyvdw@me.com;27-09-2025;Duurloop: 15 min + pauze 2 min x2 + 15 min (zonder pauze);Core stability, loopscholing basics;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;virgilsmit@gmail.com
40;30-09-2025;Fartlek rustig: 3 min + 3 min + 2 min + 2 min met pauzes;Heuvelop knieheffen, skipping;dannyvdw@me.com;04-10-2025;Duurloop: 15 min + pauze 2 min x2 + 15 min (zonder pauze);Loopscholing met lichte sprintjes;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Wedstrijdweek;Singelloop Utrecht (5 oktober);;;virgilsmit@gmail.com
41;07-10-2025;Interval met lichte versnellingen: 2 min + 2 min + 2 min + 2 min + 1 min met pauzes;Core stability, loopscholing basics;dannyvdw@me.com;11-10-2025;Duurloop: 20 min + pauze 1 min + 20 min (bijna aaneengesloten);Skipping, knieheffen, hakken-billen;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;virgilsmit@gmail.com
42;14-10-2025;3x3 min interval: 3 min + 3 min + 3 min met pauzes;Loopscholing met lichte sprintjes;virgilsmit@gmail.com;18-10-2025;Duurloop: 20 min + pauze 1 min + 20 min (bijna aaneengesloten);Armzwaaien, loopsprongen, heupzwaaien;"donderdag: Lichte duurloop 5 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;TCS 7,5 km loop Amsterdam;;;dannyvdw@me.com
43;21-10-2025;4x2 min interval: 2 min + 2 min + 2 min + 2 min met pauzes;Skipping, knieheffen, hakken-billen;virgilsmit@gmail.com;25-10-2025;Duurloop: 20 min + pauze 1 min + 20 min (bijna aaneengesloten);Dynamisch rekken, balansoefeningen;"donderdag: Lichte loopscholing of core 4 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
44;28-10-2025;Tempoblokken: 4 min + 4 min + 4 min met pauzes;Armzwaaien, loopsprongen, heupzwaaien;virgilsmit@gmail.com;01-11-2025;Duurloop: 50-60 min aaneengesloten (wedstrijdweek, rustig tempo);Knieheffen, kruispas, hakken-billen;"donderdag: Rustig herstel 3 km of core
zondag: Rustige duurloop 4 km";Core stabiliteit en lichte mobiliteitsoefeningen;Wedstrijdweek;StartbaanRun Soest (2 november);;;dannyvdw@me.com
45;04-11-2025;Heuvelintervallen licht: 2 min + 2 min + 2 min + 2 min met pauzes;Dynamisch rekken, balansoefeningen;dannyvdw@me.com;08-11-2025;Duurloop: 7 min + pauze 3 min x3 + 7 min (zonder pauze);Heuvelop knieheffen, skipping;"donderdag: Lichte loopscholing of core 4 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;virgilsmit@gmail.com
46;11-11-2025;Fartlek rustig: 3 min + 3 min + 2 min + 2 min met pauzes;Knieheffen, kruispas, hakken-billen;dannyvdw@me.com;15-11-2025;Duurloop: 7 min + pauze 3 min x3 + 7 min (zonder pauze);Core stability, loopscholing basics;"donderdag: Rustig herstel 3 km of core
zondag: Rustige duurloop 4 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;Zevenheuvelenloop (16 november);;;virgilsmit@gmail.com
47;18-11-2025;Interval met lichte versnellingen: 2 min + 2 min + 2 min + 2 min + 1 min met pauzes;Heuvelop knieheffen, skipping;dannyvdw@me.com;22-11-2025;Duurloop: 15 min + pauze 2 min x2 + 15 min (zonder pauze);Loopscholing met lichte sprintjes;"donderdag: Lichte loopscholing of core 4 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;virgilsmit@gmail.com
48;25-11-2025;3x3 min interval: 3 min + 3 min + 3 min met pauzes;Core stability, loopscholing basics;virgilsmit@gmail.com;29-11-2025;Duurloop: 15 min + pauze 2 min x2 + 15 min (zonder pauze);Skipping, knieheffen, hakken-billen;"donderdag: Tempoduurloop 7.0 km
zondag: Lange rustige duurloop 10.0 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
49;02-12-2025;4x2 min interval: 2 min + 2 min + 2 min + 2 min met pauzes;Loopscholing met lichte sprintjes;virgilsmit@gmail.com;06-12-2025;Duurloop: 20 min + pauze 1 min + 20 min (bijna aaneengesloten);Armzwaaien, loopsprongen, heupzwaaien;"donderdag: Tempoduurloop 7.0 km
zondag: Lange rustige duurloop 10.0 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
50;09-12-2025;Tempoblokken: 4 min + 4 min + 4 min met pauzes;Skipping, knieheffen, hakken-billen;virgilsmit@gmail.com;13-12-2025;Duurloop: 20 min + pauze 1 min + 20 min (bijna aaneengesloten);Dynamisch rekken, balansoefeningen;"donderdag: Lichte loopscholing of core 4 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Opbouw;;;;dannyvdw@me.com
51;16-12-2025;Heuvelintervallen licht: 2 min + 2 min + 2 min + 2 min met pauzes;Armzwaaien, loopsprongen, heupzwaaien;dannyvdw@me.com;20-12-2025;Duurloop: 50-60 min aaneengesloten (wedstrijdweek, rustig tempo);Knieheffen, kruispas, hakken-billen;"donderdag: Rustig herstel 3 km of core
zondag: Rustige duurloop 4 km";Core stabiliteit en lichte mobiliteitsoefeningen;Wedstrijdweek;Linschotenloop (halve marathon, optioneel) (20 december);;;virgilsmit@gmail.com
52;23-12-2025;Fartlek rustig: 3 min + 3 min + 2 min + 2 min met pauzes;Dynamisch rekken, balansoefeningen;dannyvdw@me.com;27-12-2025;Rustige duurloop of herstel;Heuvelop knieheffen, skipping;"donderdag: Lichte loopscholing of core 4 km
zondag: Rustige duurloop 5 km";Core stabiliteit en lichte mobiliteitsoefeningen;Herstel of voorbereiding volgend seizoen;;;;virgilsmit@gmail.com
